ID,Batcher_Comparators_Only,Batcher Merge sort_Steps,Batcher Merge sort_Time_ms,Advanced Batcher Merge sort_Steps,Advanced Batcher Merge sort_Time_ms,Bitonic_Steps,Bitonic_Time_ms
1,184126,564822,34576.74140000017,3337,1668.558600002143,184126,351.5370000022813
2,170919,123971,8082.563100004336,3335,544.8384000046644,170919,359.2908999999054
